1984	2045.5040346927701,1634.125607239073
Fahrenheit 451	1955.126526990114,1657.5444018652706
Brave New(-)World	1964.6267055746741,1523.261035440878
Catch-22	1787.0972964615742,1517.7606326282735
The Catcher in(-)the Rye	1655.3121879861194,1308.0759748878459
Slaughterhouse-Five: A(-)Novel	1830.9041651959747,961.2201132622498
Nineteen Eighty-Four	1751.3888810417009,1572.5714576266855
Huxley's Brave New(-)World	2267.6180493100123,1713.9371486869713
Golding's the Lord of(-)the Flies	2261.551210807332,1315.1007146777993
Animal Farm	1802.0220630752394,1558.190855077607
A Clockwork(-)Orange	1820.6207902989493,1351.6747847732568
The Great(-)Gatsby	1586.8646291957434,862.68683094502
Of Mice and(-)Men	1648.7798133376384,950.1344823637396
Lord of the(-)Flies	2088.1696544549222,1731.4460099898006
Cat's Cradle:(-)A Novel	1890.5540656439912,424.567519293615
Breakfast of Champions:(-)A Novel	1993.0613755843688,436.7900616499885
To Kill(-)a Mockingbird	1921.9938714215073,1372.2689606427807
One Flew Over the(-)Cuckoo's Nest:	1794.2407770814737,1265.5543507511434
The Adventures of(-)Huckleberry Finn	1485.683184163893,1004.1754472396439
Their Eyes Were(-)Watching God	1249.658448143569,888.3080776973279
The Grapes of(-)Wrath	1519.8899737890754,705.1647596512363
Death of a(-)Salesman	1150.4000422079528,1283.1017822180047
Night	1699.2083783191936,1588.336809667553
Of Mice(-)& Men	1673.296860032747,932.9367541645876
The Sirens of Titan:(-)A Novel	1871.5743179667097,490.72709229506916
Mother Night:(-)A Novel	1756.2012011011718,428.46590486823186
Welcome to the Monkey(-)House: Stories	1975.25400163027,445.08388784235615
Romeo and(-)Juliet	1816.8843643799034,1298.4945117282432
The Scarlet(-)Letter	1635.166328070344,865.09869164201
The Crucible(-)	1529.4787594382262,952.8095619540065
Hawthorne's The Scarlet(-)Letter	1376.1617147379152,727.1198089319557
Invisible Man	1180.3114789206302,1301.5010305368323
The Things(-)They Carried	1339.0827454753087,1340.6748962603265
Their Eyes Were Watching(-)God CD	1546.3107347034459,1069.501712637296
Fitzgerald's The Great(-)Gatsby	1372.2936207609848,854.5366131782285
East of(-)Eden	1678.0549010962957,733.9558458049836
The Glass(-)Menagerie	1070.7954053249755,1146.9872735774625
A Streetcar(-)Named Desire	1052.3877280860859,1384.4762293802346
A Raisin in(-)the Sun	1466.6823936855933,1195.7805126356702
Player Piano	1987.001467251464,221.89842990140306
God Bless You,(-)Mr. Rosewater	1842.9301102904253,199.53255385648353
In Search of History -(-)Salem Witch Trials	1367.7280594544218,884.6247979810024
Beloved	1278.2456378336735,1077.8617033146488
Native Son	1264.3902500829793,1051.3895153654667
Cannery Row:(-)	1457.9828900858179,482.7258390957363
Anna Karenina(-)	2243.9903224347586,1030.408834099263
Long Day's Journey(-)into Night	1075.6054447353044,1595.1010509882176
Who's Afraid of(-)Virginia Woolf?	1060.7897057665577,1562.4570227150257
A Mercy	1573.972852637978,1619.169403237166
Song of(-)Solomon	1334.0874892293537,1195.0304270363195
Black Boy(-)	1316.4508317989012,1040.2502338422441
Their Eyes Were Watching(-)God Literature Guide	1224.134511278551,758.334055174841
The Great(-)Gatsby CD	1673.973952208902,956.1911053624311
Sweet Thursday(-)	1234.7105109421507,177.64219183684344
The Winter of Our(-)Discontent	1308.602868865658,295.29335278638575
The Brothers(-)Karamazov	2461.518732125814,1190.83319284134
Crime and(-)Punishment	2241.3959152344023,1238.6222716628554
Love in the Time(-)of Cholera	2066.0372705928435,781.1151536022994
Madame Bovary(-)	2025.2625618962682,1395.680656054581
War And(-)Peace	2119.603992969048,982.0774426437805
War and(-)Peace	2797.9692924782885,1360.6183216551717
Waiting for Godot: A(-)Tragicomedy in Two Acts	1557.366179733256,1657.846201023121
The Iceman(-)Cometh	1068.0898173635785,1371.232911132055
Glengarry Glen Ross:(-)A Play	749.780887180171,1620.5653943037896
