1984	1456.4442150576274,2272.638673226116
Fahrenheit 451	1406.2637548605958,2342.7531763065626
Brave New(-)World	1544.3574021630266,2099.6085190623553
Catch-22	1251.9682179807512,2261.61775198749
The Catcher in(-)the Rye	1191.9029119495626,2028.2027958930855
Slaughterhouse-Five: A(-)Novel	732.471687959631,2171.7817345422227
Nineteen Eighty-Four	1344.594976213533,2041.0268176221432
Huxley's Brave New(-)World	1710.639524816761,2322.533745396375
Golding's the Lord of(-)the Flies	1722.689071157366,2236.7105749632574
Animal Farm	1391.4646835792505,2183.590100814644
A Clockwork(-)Orange	1165.323532579714,2230.6067538467214
The Great(-)Gatsby	986.2655764577381,1760.4199923924248
Of Mice and(-)Men	1197.4938196587846,1644.834495691997
Lord of the(-)Flies	1623.508038723837,2304.526979819663
Cat's Cradle:(-)A Novel	299.89969443167837,2107.08275347603
Breakfast of Champions:(-)A Novel	255.38641905964528,2144.024961419638
To Kill(-)a Mockingbird	1567.0620087094787,2157.7125392802727
One Flew Over the(-)Cuckoo's Nest:	1007.8479569402635,2203.2656765215115
The Adventures of(-)Huckleberry Finn	1050.4243321993533,1839.8509613964984
Their Eyes Were(-)Watching God	718.9552183894917,1753.0495904694574
The Grapes of(-)Wrath	876.4041176976267,1535.9353585521458
Death of a(-)Salesman	1072.1284350060794,1169.4533020025594
Night	1453.693671452963,1982.362973424836
Of Mice(-)& Men	1149.4787390534825,1625.3913091891534
The Sirens of Titan:(-)A Novel	228.78426568088042,2188.1881934678886
Mother Night:(-)A Novel	284.0718727845862,2095.3503323158284
Welcome to the Monkey(-)House: Stories	239.52705123860244,2144.4424504464077
Romeo and(-)Juliet	1978.8536587088424,2066.174169746728
The Scarlet(-)Letter	1045.2980667849574,1840.0174758515655
The Crucible(-)	1009.4294952743157,1635.145049135809
Hawthorne's The Scarlet(-)Letter	933.9162703539923,1638.215262886065
Invisible Man	823.6837220634941,2042.7438935275184
The Things(-)They Carried	1114.71160784229,2087.578806699409
Their Eyes Were Watching(-)God CD	939.7859465706666,1981.4206108006692
Fitzgerald's The Great(-)Gatsby	807.2797639083874,1837.0328627815747
East of(-)Eden	951.2378976260266,1440.6358316145424
The Glass(-)Menagerie	930.0887217704562,1328.0016778899749
A Streetcar(-)Named Desire	935.8145141759561,983.4913463728037
A Raisin in(-)the Sun	1160.1468492839908,1389.4113561308434
Player Piano	30.0,2164.743179812881
God Bless You,(-)Mr. Rosewater	73.01186850858568,2016.2937247007628
In Search of History -(-)Salem Witch Trials	1013.4661879855023,1782.3885435010232
Beloved	923.9660931961031,1850.7234429538912
Native Son	746.5127190435578,1911.4120761425847
Cannery Row:(-)	800.5910688911149,1308.6508795775658
Anna Karenina(-)	1633.778518236467,1572.254153249784
Long Day's Journey(-)into Night	1103.8408647894057,1118.9788181440201
Who's Afraid of(-)Virginia Woolf?	1124.3734300110864,1022.9369213574466
A Mercy	1365.255576420676,1533.1682271373452
Song of(-)Solomon	937.7706148927729,1497.2925602763273
Black Boy(-)	884.5292753239007,1952.7611237049323
Their Eyes Were Watching(-)God Literature Guide	617.6763003299706,1767.5631911528396
The Great(-)Gatsby CD	1111.6599491782727,1800.1444154025035
Sweet Thursday(-)	499.3729749697249,981.2460473052549
The Winter of Our(-)Discontent	666.6049743515835,1180.350902847443
The Brothers(-)Karamazov	2054.8208481350503,1479.3139672915956
Crime and(-)Punishment	1717.4742035349934,1645.8153742409058
Love in the Time(-)of Cholera	1508.4190847520485,1371.1503100221732
Madame Bovary(-)	1634.3568326813547,1970.8241288824245
War And(-)Peace	1473.6774956482877,1574.62013275432
War and(-)Peace	1722.6376336639216,1847.575671347224
Waiting for Godot: A(-)Tragicomedy in Two Acts	1537.798593505781,1764.2737578453196
The Iceman(-)Cometh	993.2459229311605,998.1687483028315
Glengarry Glen Ross:(-)A Play	1009.4651432090639,575.0596050509299
The White Tiger: A(-)Novel	2042.7771226924679,1252.440860605068
2666: A(-)Novel	1903.5436875056728,1685.9852385131906
The Hour I First(-)Believed: A Novel	1549.9864095520445,980.399408485765
Unaccustomed Earth:(-)Stories	1948.2194104478685,1343.4209930118493
The Story of Edgar(-)Sawtelle: A Novel	1768.6201362005156,1541.6573650925063
Paradise	993.4989568092819,1379.1645052672854
The Invisible(-)Man	882.929039565939,2230.3817902520914
Zora Neale Hurston's Their Eyes Were(-)Watching God: A Casebook	425.73264320655176,1693.3327104715777
New Essays on Their Eyes(-)Were Watching God	384.5838067903844,1690.9162218270906
Tortilla Flat(-)	772.2062692261068,1189.2084631543187
The Wayward(-)Bus	451.9352181208525,923.0690809509234
The Long(-)Valley	570.7565317097698,893.8673255896398
In Dubious(-)Battle	494.41300972870687,905.3343142978565
Travels with Charley in(-)Search of America:	829.3646324041997,1270.4262420816594
The Idiot	1899.5950520181818,1479.3119199428825
Notes from(-)Underground	1857.6319848030203,1474.4587076876935
Demons	1779.0056319959688,1317.6412887883653
The Odyssey(-)	2263.338687709833,2554.0325641658455
The Stranger	1539.0388363143586,2424.9212173005862
Heart of(-)Darkness	1927.9544364159851,2088.1726947332754
Fyodor Dostoevsky's Crime and(-)Punishment	1627.9645908126886,1638.467880711868
A Hero of Our(-)Time	2113.808939233765,1475.5306952257838
Mrs. Dalloway	2145.804072289443,1940.0723985987713
The Pillars of the(-)Earth	2011.565149180764,708.7101980083117
Eat, Pray, Love: One Woman's Search for(-)Everything Across Italy, India and Indonesia	1431.6301241650901,1360.1983947329002
One Hundred Years of(-)Solitude	1343.0838815748752,1401.6920467506914
Middlesex: A(-)Novel	1459.7985338238514,1570.6848791829027
Atonement	2056.289257788588,1680.6640890901053
No Exit and Three(-)Other Plays	1349.1861116479422,2606.331169146786
Things Fall Apart:(-)A Novel	1955.9920882428205,2014.461037317186
Hamlet	2179.744384017265,1964.0596925819575
A Moon for(-)the Misbegotten	953.7392421939975,960.7400389302128
Sam Shepard : Seven(-)Plays	1076.298594867336,401.2174827918248
American Buffalo	1161.64948182754,681.1655041520072
Glengarry Glen(-)Ross	974.1722735334074,760.1887244573066
The Brief Wondrous Life(-)of Oscar Wao	2048.532790765861,1455.3228238492097
The Girl with the(-)Dragon Tattoo	1745.978823450177,1005.4768802291485
Sea of Poppies:(-)A Novel	1710.4029980823288,1220.2859113168913
The Guernsey Literary and Potato(-)Peel Pie Society	1901.093230153788,1229.4876265978423
The Savage Detectives:(-)A Novel	1620.5348959494538,1430.4544154128137
Netherland	1745.5483909969228,1566.427718043305
Testimony: A(-)Novel	1695.188081967367,970.8488061278674
Couldn't Keep It to Myself:  Wally Lamb(-)and the Women of York Correctional Institution	1527.588918790839,804.1006489451927
I Know This Much Is(-)True: A Novel	1586.751730225446,826.2261309060873
Interpreter of(-)Maladies	2102.0239129144356,1220.49394991658
Olive Kitteridge:(-)Fiction	1907.578731172317,1132.5385762055064
The Art of Racing(-)in the Rain	1925.29660770706,1772.209535389024
Dewey: The Small-Town Library Cat(-)Who Touched the World	1946.6748015695478,2016.5771462434857
Love: A(-)Novel	1088.5921832903182,1598.933897781472
Jazz	844.703168908148,1671.9225812277211
Tar Baby	1032.8193507615208,1579.2504870280852
In Our(-)Time	642.4631568836281,1875.8091882300912
